tweet_id,timestamp,dog_breed,dog_stage,rating_numerator,rating_denominator,retweet_count,favorite_count,jpg_url
892177421306343426,2017-08-01,chihuahua,,13.0,10.0,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,2017-07-31,chihuahua,,12.0,10.0,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,2017-07-30,labrador_retriever,,13.0,10.0,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,2017-07-29,basset,,12.0,10.0,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,2017-07-29,chesapeake_bay_retriever,,13.0,10.0,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,2017-07-28,appenzeller,,13.0,10.0,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,2017-07-28,pomeranian,,13.0,10.0,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,2017-07-27,irish_terrier,,13.0,10.0,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,2017-07-26,pembroke,doggo,14.0,10.0,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,2017-07-26,samoyed,,13.0,10.0,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,2017-07-25,french_bulldog,,13.0,10.0,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
889665388333682689,2017-07-25,pembroke,puppo,13.0,10.0,8538,38818,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg
889638837579907072,2017-07-25,french_bulldog,,12.0,10.0,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
